GEOID,total_pop,tot_workers,median_income,avg_commute,pctpoc,pctpov,pct_wo_car,pct_transit_users
06059076002,2181,1461,100852,26,60.9353507565337,17.46905089408528,13.525905547913803,0
06059076102,8170,2819,73548,25.4,74.28396572827417,8.188494492044065,1.7380660954712364,0.7449450159631075
06059076103,9649,4857,73590,28.1,89.79168825785055,8.19774069851798,0,1.5029853819229977
06059076104,5824,4286,118676,29.8,65.77953296703298,7.503434065934066,1.253434065934066,0
06059076105,4425,2415,132857,28.9,57.24293785310734,10.80225988700565,2.350282485875706,3.8095238095238098
06059076201,7516,3888,128613,27.5,52.700904736562,5.614688664183076,0.7450771687067589,0.2829218106995885
06059076202,5750,3265,118417,29.6,67.14782608695651,10.417391304347825,0.7130434782608696,1.562021439509954
06059076204,3922,1929,82841,22.4,79.14329423763387,5.150433452320245,0.38245792962774094,0.673924313115604
06059076205,6878,3497,120729,21.6,48.77871474265775,8.05466705437627,0.11631288165164291,1.486988847583643
06059076206,5879,2817,110385,26.7,46.43646878720871,13.18251403299881,0.6973975165844531,0
06059076208,5524,3065,135784,24.9,45.56480811006517,8.399710354815351,1.556842867487328,0.35889070146818924
06059086301,6486,3548,84828,24.8,83.14831945729263,11.347517730496454,0.9096515572001234,1.8038331454340473
06059086303,13233,7367,93370,30.8,70.3695307186579,20.622685709967506,1.4282475629109046,1.6560336636351296
06059086304,4427,2211,79129,29,69.18906708832166,8.606279647616896,2.0781567653038175,2.261420171867933
06059086305,4713,2542,150341,25.5,72.92594950137916,4.455760661998727,0.4243581582855931,0
06059086306,3905,1943,87375,27.5,73.31626120358514,12.522407170294494,0.43533930857874525,0.2573340195573855
06059086402,6078,2888,122254,33.5,76.62059888121092,2.879236590983876,0.8555445870352089,0.6578947368421052
06059086404,6650,3265,87033,24,91.0827067669173,8.526315789473685,0.7368421052631579,0
06059086405,6336,2954,77689,24.5,90.1830808080808,12.31060606060606,1.6887626262626263,1.5233581584292486
06059086406,4000,2171,76602,31.7,80.2,14.075,0.475,0.7830492860432979
06059086407,6498,3435,88430,22.9,77.79316712834718,9.756848261003386,1.7543859649122806,0.7569141193595341
06059086501,3546,1800,80313,29.7,80.2312464749013,18.83812746756909,0.39481105470953193,1.1666666666666667
