GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
370010207013,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1100,734.0,1.3576,Forest,Google,0.5,0.3351,0.1649,0.415261628955522,0.332425068119891,0.332425068119891,0.405994550408719,0.459195886077212,0.0,0.0,1.073446327683616,0.517711171662125,0.536723163841808,0.002368373109856,0.015021437022064,0.402974394561224,6.98,0.705694942254082,81,84.0,,0.196185286103542,0.321525885558583,Yes,28.0,47,,,,,,,,,
370010207014,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1492,2216.0,2.6724,Forest,Google,0.5,0.442,0.058,0.311223926702702,0.299638989169675,0.299638989169675,0.135379061371841,0.153119070146043,0.0,0.0,0.487248322147651,0.327617328519856,0.243624161073826,0.002368373109856,0.015021437022064,0.402974394561224,2.53,0.52847471127041,95,84.0,,0.179602888086643,0.148014440433213,,10.0,47,,,,,,,,,
370010207021,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1393,1315.0,1.3687,Forest,Google,0.5,0.4361,0.0639,0.417159560051281,0.412167300380228,0.412167300380228,0.362737642585551,0.410270613319676,0.085129310344827,0.189481368186874,0.426247288503254,0.298859315589354,0.213123644251627,0.0,0.0,0.628850426231774,4.65,0.612903225806452,92,84.0,,0.095817490494296,0.203041825095057,Yes,15.0,47,,,,,,,,,
370010207022,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1311,1225.0,0.715,Forest,Google,0.5,0.4499,0.0501,0.459544251128429,0.498775510204082,0.498775510204082,0.398367346938776,0.450569217438073,0.085995085995086,0.191408417214869,0.864535768645358,0.463673469387755,0.432267884322679,0.0,0.0,0.628850426231774,4.19,0.594583831142971,93,84.0,,0.16734693877551,0.296326530612245,Yes,13.0,47,,,,,,,,,
370010207023,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1342,2005.0,0.5581,Forest,Google,0.5,0.3299,0.1701,0.484404119323116,0.512718204488778,0.512718204488778,0.492768079800499,0.557340178105249,0.106466876971609,0.236974661646484,0.538756715272448,0.350124688279302,0.269378357636224,0.0,0.0,0.628850426231774,8.96,0.784547988849064,78,84.0,,0.27930174563591,0.070822942643392,Yes,33.0,47,,,,,,,,,
370010207024,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1017,955.0,4.9345,Forest,Google,0.5,0.3539,0.1461,0.491922398061292,0.809424083769633,0.809424083769633,0.570680628272251,0.645462350425057,0.017374517374517,0.038672312865861,0.768518518518518,0.434554973821989,0.384259259259259,0.0,0.0,0.628850426231774,2.86,0.541616885702907,81,84.0,,0.36544502617801,0.069109947643979,Yes,28.0,47,,,,,,,,,
370010208011,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1148,1819.0,5.2353,Forest,Google,0.5,0.3363,0.1637,0.428331679751045,0.464540956569544,0.464540956569544,0.39912039582188,0.451420945494001,0.019586507072905,0.043595773807434,0.614019520851819,0.380428807036833,0.307009760425909,0.01778304682869,0.112789204068369,0.532757141210968,5.37,0.6415770609319,81,84.0,,0.231995601979109,0.148433205057724,Yes,28.0,47,,,,,,,,,
370010208021,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,797,642.0,0.4708,Forest,Google,0.4,0.2517,0.1483,0.69365685153948,0.828660436137072,0.828660436137072,0.632398753894081,0.715267990312119,0.284046692607004,0.632232960963976,0.3375,0.252336448598131,0.16875,0.073779193205945,0.467945485307929,0.938285425393615,11.01,0.866188769414576,72,84.0,,0.05607476635514,0.196261682242991,Yes,41.0,47,,,,,,,,,
370010208022,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1210,963.0,0.6393,Forest,Google,0.5,0.3948,0.1052,0.679268860636701,0.904465212876428,0.904465212876428,0.862928348909657,0.976006075450527,0.109839816933638,0.244482173174873,0.610367892976589,0.379023883696781,0.305183946488294,0.073779193205945,0.467945485307929,0.938285425393615,6.06,0.669056152927121,81,84.0,,0.232606438213915,0.146417445482866,Yes,28.0,47,,,,,,,,,
370010208023,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1335,1443.0,1.3351,Forest,Google,0.5,0.3756,0.1244,0.55721659864322,0.796950796950797,0.796950796950797,0.4,0.452415812591508,0.021917808219178,0.048784798939461,0.478483606557377,0.323631323631324,0.239241803278688,0.073779193205945,0.467945485307929,0.938285425393615,4.64,0.612504978096376,81,84.0,,0.167706167706168,0.155925155925156,Yes,28.0,47,,,,,,,,,
